Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,31.1,0.0432,0.055,0.0514,0.0512,0.0512,0.0515,0.0521,0.0507,0.0483,0.0502,0.0487,0.0494,0.0411,0.0608,0.0598,0.0572,0.0532,0.0542,0.057,0.0571,0.0618,0.0585,0.0609,0.0551,0.0577,0.0608,0.0544,0.0515,0.0548,0.05,0.0506,0.0571,0.0524,0.0522,0.0516,0.0476,0.04,0.0551,0.0525,0.0517,0.051,0.0518,0.049,0.0499,0.0514,0.0515,0.0513,0.0485,0.043,0.0667,0.0608,0.0581,0.0588,0.0554,0.0512,0.0542,0.054,0.0556,0.0515,0.0483,0.0419,0.0597,0.0547,0.0517,0.06,0.057,0.0513,0.0537,0.0534,0.053,0.0521,0.0511,0.051,0.0546,0.0639,0.0537,0.0637,0.053,0.0493,0.0506,0.0511,0.05,0.0496,0.0454,0.0405,0.0534,0.0523,0.0492,0.051,0.0491,0.0478,0.0483,0.046,0.0511,0.0471,0.0472
1200.035,37.1,0.0443,0.0612,0.0551,0.0543,0.0533,0.0521,0.0523,0.0502,0.0478,0.0493,0.0483,0.0493,0.0413,0.0641,0.0637,0.0592,0.0566,0.058,0.0535,0.0543,0.0592,0.0557,0.0537,0.0534,0.0404,0.0581,0.0512,0.0533,0.0564,0.0522,0.051,0.0571,0.0522,0.0541,0.0518,0.0482,0.0408,0.0576,0.0543,0.0541,0.0525,0.0529,0.0487,0.0497,0.0512,0.0515,0.0508,0.048,0.0409,0.0722,0.0641,0.0609,0.0643,0.0592,0.0521,0.0553,0.0538,0.0565,0.0533,0.0497,0.0426,0.0611,0.0564,0.054,0.0595,0.0585,0.0512,0.0533,0.0528,0.0525,0.0519,0.0514,0.0508,0.0576,0.0624,0.0533,0.0584,0.0551,0.0506,0.0517,0.0512,0.049,0.0485,0.0457,0.0413,0.0528,0.0521,0.0495,0.0521,0.0498,0.0478,0.0476,0.0455,0.0509,0.0467,0.0469
2400.064,37.2,0.044,0.0607,0.0547,0.0538,0.053,0.052,0.0574,0.05,0.0476,0.049,0.048,0.0489,0.0413,0.065,0.0642,0.0597,0.0575,0.0593,0.0539,0.0548,0.0594,0.0546,0.0508,0.0526,0.0402,0.0585,0.0515,0.0538,0.0572,0.0527,0.0516,0.0582,0.0532,0.055,0.0507,0.0477,0.0407,0.0579,0.0553,0.0547,0.0532,0.0542,0.0491,0.0505,0.0518,0.052,0.0498,0.0473,0.0407,0.0728,0.0647,0.0617,0.0648,0.0602,0.0527,0.0562,0.0553,0.0578,0.0531,0.049,0.0427,0.062,0.0597,0.0548,0.0606,0.0601,0.052,0.0543,0.0539,0.0522,0.0503,0.0508,0.0507,0.0595,0.0648,0.0556,0.057,0.0578,0.0504,0.0524,0.0498,0.0474,0.047,0.0453,0.0412,0.0524,0.0517,0.0489,0.0516,0.0506,0.0474,0.0472,0.0453,0.0505,0.0463,0.0466
3600.108,37.2,0.044,0.0599,0.054,0.0533,0.0525,0.0514,0.0579,0.0502,0.0474,0.0488,0.0476,0.0484,0.0414,0.0663,0.0657,0.0614,0.0596,0.0609,0.0549,0.0563,0.0598,0.0534,0.0499,0.0522,0.0402,0.0597,0.0523,0.0549,0.0583,0.0545,0.0524,0.0596,0.0547,0.0571,0.0501,0.0474,0.0408,0.0592,0.0562,0.0558,0.0548,0.056,0.0505,0.0525,0.0537,0.0536,0.0491,0.0472,0.0406,0.0742,0.066,0.0628,0.0659,0.0617,0.0542,0.0577,0.0574,0.0598,0.0526,0.0486,0.0428,0.0628,0.0605,0.0559,0.0625,0.0623,0.0531,0.0558,0.055,0.0511,0.0496,0.0504,0.0508,0.062,0.0676,0.0591,0.0611,0.0621,0.0496,0.0539,0.0487,0.047,0.0466,0.0453,0.0412,0.052,0.0514,0.0489,0.0515,0.052,0.0472,0.0471,0.0453,0.0504,0.0462,0.0463
4800.129,37.1,0.0438,0.0592,0.0537,0.0528,0.0522,0.0542,0.0515,0.0495,0.0472,0.0486,0.0475,0.0481,0.0414,0.0665,0.0663,0.0639,0.0623,0.0642,0.0556,0.0587,0.0589,0.053,0.0496,0.0517,0.0403,0.0653,0.0537,0.0565,0.06,0.057,0.0543,0.0617,0.0578,0.0584,0.0494,0.0472,0.0408,0.0609,0.0578,0.0574,0.0565,0.0588,0.0523,0.0549,0.0562,0.0558,0.0486,0.0469,0.0407,0.0751,0.0675,0.0643,0.0676,0.064,0.0564,0.0608,0.0601,0.0627,0.0518,0.0483,0.0428,0.0644,0.0618,0.0579,0.0651,0.0645,0.0548,0.0584,0.0563,0.0503,0.0493,0.0501,0.0508,0.0657,0.0717,0.0642,0.0679,0.0676,0.0486,0.0541,0.0482,0.0467,0.0464,0.0451,0.0411,0.0513,0.0512,0.0486,0.0513,0.0499,0.047,0.0469,0.0452,0.0502,0.0461,0.0461
6000.181,37.2,0.0438,0.0584,0.0532,0.0524,0.0517,0.0516,0.0508,0.0492,0.047,0.0484,0.0472,0.0478,0.0416,0.0686,0.0691,0.068,0.0662,0.0682,0.055,0.0623,0.0574,0.0525,0.0499,0.0514,0.0404,0.0636,0.0559,0.059,0.0622,0.0602,0.0565,0.0649,0.0608,0.0607,0.0491,0.0469,0.0407,0.0632,0.0602,0.06,0.0595,0.063,0.0539,0.0578,0.0592,0.0575,0.0483,0.0469,0.0408,0.0774,0.0699,0.0663,0.0701,0.0678,0.0595,0.0641,0.0649,0.0676,0.0507,0.0481,0.0428,0.0667,0.0642,0.0617,0.0681,0.0678,0.0561,0.0612,0.0564,0.0496,0.0489,0.05,0.0508,0.0705,0.0772,0.0706,0.0729,0.0726,0.0479,0.0533,0.0478,0.0465,0.0461,0.0451,0.041,0.051,0.0509,0.0484,0.0512,0.0526,0.047,0.0468,0.0452,0.0501,0.046,0.046
7200.21,37.3,0.0436,0.0579,0.0528,0.0521,0.0515,0.0535,0.0511,0.049,0.0469,0.0483,0.0471,0.0476,0.0416,0.0722,0.2238,0.0727,0.0722,0.0752,0.0528,0.0623,0.0569,0.0523,0.0504,0.0511,0.0404,0.0681,0.0583,0.0622,0.0658,0.065,0.0592,0.0688,0.0642,0.0597,0.0488,0.0469,0.0408,0.0666,0.0635,0.0632,0.0634,0.0681,0.0569,0.0614,0.0626,0.0578,0.0479,0.0469,0.0409,0.0808,0.0723,0.0697,0.0743,0.0737,0.0627,0.0696,0.0697,0.0724,0.0501,0.0478,0.0426,0.069,0.0674,0.0648,0.0721,0.073,0.0569,0.064,0.053,0.0494,0.0487,0.0498,0.0508,0.0753,0.0833,0.0742,0.0746,0.0822,0.0474,0.0536,0.0476,0.0464,0.0461,0.0451,0.041,0.0506,0.0508,0.0486,0.0506,0.0486,0.0469,0.0467,0.0451,0.05,0.0459,0.046
8400.241,37.2,0.0438,0.0571,0.0529,0.0514,0.0508,0.0537,0.05,0.0485,0.0467,0.0479,0.0468,0.0473,0.0417,0.0775,0.0784,0.0783,0.0806,0.0821,0.052,0.0582,0.0567,0.0523,0.0508,0.0507,0.0405,0.0734,0.0624,0.0668,0.071,0.07,0.0627,0.0737,0.0693,0.057,0.0486,0.0467,0.0409,0.0709,0.0683,0.0684,0.0684,0.0754,0.0596,0.0648,0.066,0.0551,0.0478,0.0467,0.0409,0.0859,0.0772,0.0743,0.0794,0.0821,0.067,0.0757,0.0768,0.0746,0.0497,0.0475,0.0424,0.0739,0.0714,0.0681,0.0763,0.0774,0.0564,0.0679,0.0513,0.049,0.0487,0.0495,0.0508,0.0826,0.095,0.0804,0.0884,0.0936,0.047,0.0499,0.0472,0.0462,0.0459,0.045,0.0411,0.0503,0.0503,0.0483,0.0506,0.0493,0.0468,0.0466,0.0451,0.05,0.0457,0.0458
9600.279,37.2,0.0438,0.0563,0.0519,0.0513,0.0508,0.0525,0.0518,0.0484,0.0465,0.0479,0.0465,0.047,0.0416,0.0861,0.0862,0.0851,0.0887,0.0909,0.0515,0.055,0.0564,0.0517,0.0506,0.0505,0.0405,0.0796,0.0677,0.0738,0.0782,0.0763,0.0652,0.0784,0.0741,0.0548,0.0484,0.0465,0.0408,0.0787,0.0756,0.0753,0.0757,0.0816,0.0618,0.0673,0.0723,0.0528,0.0478,0.0465,0.0409,0.0954,0.0849,0.0819,0.0869,0.0928,0.0715,0.0822,0.083,0.0682,0.0493,0.0473,0.0424,0.0809,0.0775,0.0726,0.0823,0.0838,0.0541,0.0674,0.0505,0.0489,0.0486,0.0493,0.0507,0.0855,0.1093,0.1199,0.1001,0.1455,0.0466,0.049,0.0469,0.046,0.0457,0.0449,0.0413,0.0506,0.0505,0.0483,0.0507,0.0509,0.0468,0.0466,0.045,0.0499,0.0456,0.0457
10800.296,37.2,0.0436,0.0559,0.0515,0.0509,0.0503,0.0516,0.0535,0.0481,0.0464,0.0477,0.0465,0.0469,0.0416,0.0957,0.1719,0.0909,0.0919,0.0988,0.0506,0.0536,0.056,0.051,0.0507,0.0501,0.0405,0.0949,0.075,0.0827,0.0887,0.0848,0.0683,0.0814,0.0788,0.0534,0.0483,0.0464,0.0408,0.0858,0.0836,0.0833,0.0852,0.0897,0.0652,0.0713,0.0773,0.0516,0.0476,0.0463,0.0409,0.107,0.0942,0.0917,0.0977,0.1052,0.0783,0.0884,0.0931,0.0615,0.0491,0.0472,0.0422,0.0896,0.084,0.0773,0.087,0.0891,0.0519,0.0643,0.05,0.0486,0.0484,0.0492,0.0507,0.0984,0.1104,0.1082,0.0864,0.1133,0.0464,0.048,0.0468,0.0459,0.0457,0.0448,0.0416,0.0499,0.0497,0.0479,0.0502,0.0483,0.0465,0.0463,0.045,0.0498,0.0456,0.0456
